state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48001281986  18.27  15.39  24.69  27.39  31.03  44.58  46.31  45.81  37.20  28.11  19.22  10.96
48001281987  11.01  15.37  17.19  26.01  37.60  42.06  47.43  45.05  35.02  26.85  17.29   9.97
48001281988   6.94  10.44  15.75  25.34  33.39  47.10  48.58  45.36  36.86  31.95  19.92  10.78
48001281989  12.85   3.99  21.65  26.37  33.64  39.70  49.10  45.16  37.15  28.72  21.92   9.48
48001281990  14.63  11.53  19.20  26.17  30.67  42.80  47.05  45.30  41.94  28.71  21.13   4.60
48001281991   9.30  17.44  19.33  23.59  34.68  43.30  47.77  47.66  38.07  27.03  16.72  12.99
48001281992  10.72  18.19  22.42  30.24  36.61  41.70  45.63  45.14  38.86  30.69  15.13   9.86
48001281993  10.29   7.07  19.38  24.53  34.77  39.47  43.93  44.38  35.87  26.85  12.83  12.60
48001281994  14.29  11.43  21.22  25.57  37.06  43.77  46.40  47.70  38.62  28.81  15.98  15.85
48001281995  12.56  17.40  20.01  23.70  32.11  40.30  46.44  48.47  38.19  27.43  22.78  15.73
48001281996   8.38  13.68  16.05  25.39  34.63  42.55  48.34  44.89  36.28  26.98  20.79  15.87
48001281997  10.81  10.63  20.53  20.26  33.69  44.42  47.61  47.55  42.28  28.35  16.23  10.81
48001281998  16.16  16.25  16.23  24.04  34.63  38.53  50.81  47.61  43.45  30.49  25.18  10.62
48001281999  15.57  16.92  20.10  23.50  32.50  41.45  49.66  47.73  34.36  27.27  23.65  14.11
48001282000  15.35  18.86  20.66  27.09  36.72  41.72  49.98  50.23  38.01  29.70   9.63   9.46
48001282001   9.59  11.30  20.32  27.61  35.49  43.18  51.94  49.48  40.53  29.68  20.93  12.58
48001282002  10.33  10.22  12.83  27.27  31.91  43.68  50.77  45.27  40.51  23.70  18.09  15.71
48001282003  20.14   9.21  21.60  28.02  34.50  40.46  51.31  49.37  36.18  30.29  17.29  15.67
48001282004  13.62  11.84  22.82  26.87  34.52  40.37  46.92  43.45  38.93  30.70  18.68  15.78
48001282005  17.53  14.29  19.56  24.80  32.99  41.74  49.24  45.21  38.88  30.74  22.46  10.92
48001282006  15.91   9.61  15.64  27.55  34.63  44.62  51.85  47.93  35.37  27.21  20.64  13.35
48001282007   4.82  15.93  24.28  26.11  35.15  42.62  51.64  49.84  40.28  29.88  21.54   9.82
48001282008   7.25  12.52  16.30  21.52  32.04  40.24  48.52  46.72  36.68  28.26  23.76  10.08
48001282009  14.63  17.56  18.52  24.73  35.85  41.79  46.31  43.61  38.32  22.96  20.64   5.59
48001282010  11.32   7.92  19.71  25.66  30.76  42.37  48.27  46.67  38.35  32.49  18.45  16.57
48001282011  12.36   7.14  21.88  25.79  31.71  40.42  51.01  48.72  38.88  30.63  18.54   8.04
48001282012  14.92  10.11  25.11  29.68  34.56  45.99  52.61  47.62  39.96  27.81  25.72  13.15
48001282013   9.97  10.65  18.32  20.19  34.61  43.70  49.95  48.78  43.81  26.80  20.89  10.42
48001282014  12.49  11.19  20.26  26.35  35.06  40.64  49.14  46.36  40.51  32.85  16.95  14.54
48001282015  16.63  16.63  24.06  27.30  34.68  46.17  47.95  46.78  42.48  35.83  19.29  12.38
48001282016  12.36  19.24  21.29  27.59  32.65  45.95  49.60  45.19  39.88  33.21  24.51  10.13
48001282017   9.59  19.56  27.03  25.93  33.57  43.21  50.65  45.75  39.63  26.10  25.99  15.15
48001282018  16.56  10.44  19.92  25.29  37.45  43.97  48.83  45.97  40.73  27.36  17.91  11.70
48001282019  12.11  11.80  15.51  28.02  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
48003281895   2.03   1.04  16.50  31.33  37.06  42.76  49.64  50.18  39.43  30.42  15.04   7.68
48003281896   7.18  18.30  14.76  26.47  37.35  46.49  55.24  50.74  40.05  30.43   3.47  20.89
48003281897   3.72   9.34   7.99  30.56  40.53  45.88  47.80  49.35  42.73  32.00  16.70  10.22
48003281898   3.65  15.35  10.27  29.26  38.93  46.49  50.04  53.71  38.39  27.37  13.95   1.98
48003281899   6.75  -9.35   6.53  28.58  37.67  45.81  51.57  46.98  40.73  29.17  21.38   8.19
48003281900  11.35   6.76  21.58  32.65  41.09  49.89  51.58  51.60  41.32  29.75  14.41  17.06
48003281901  10.00   6.91  22.50  31.77  46.04  45.72  56.52  54.48  40.26  36.21  23.92  12.45
48003281902   6.06  14.25  22.06  27.88  42.42  46.85  52.25  52.20  39.22  30.69  18.77  10.22
48003281903  12.90   2.77  17.04  26.55  35.65  47.68  51.19  52.95  39.60  31.17  16.21  13.33
48003281904  10.38  10.44  19.51  32.58  38.30  45.18  51.37  51.19  41.41  32.94  21.45  14.54
48003281905  13.17   2.91  24.10  29.08  36.97  45.23  52.52  54.57  41.27  29.64  19.74  12.00
48003281906   9.54  13.30   8.89  27.81  38.30  44.76  51.85  51.78  42.80  31.08  17.83  15.55
48003281907  -1.82  11.82  23.67  26.10  34.99  43.18  52.65  48.18  42.01  33.80  19.71  12.83
48003281908  10.87  12.49  17.71  30.27  36.93  44.47  54.19  49.19  42.24  29.35  17.01   6.51
48003281909   0.36   9.46  19.04  23.16  33.71  47.88  53.69  54.59  44.44  29.95  21.67  -1.35
48003281910   0.79  -0.29  27.79  33.17  38.71  46.36  54.90  46.85  41.58  31.91  22.75  12.74
48003281911   9.50   9.64  21.78  25.27  38.35  50.92  49.46  47.57  40.35  26.83  11.07   8.49
48003281912   4.80  16.59   8.71  28.58  37.98  46.04  51.01  48.85  36.82  28.58  22.86  12.22
48003281913   6.96   0.34  12.20  28.35  38.73  49.14  49.66  51.31  38.82  26.92  19.90   6.85
48003281914  10.92  11.10  21.16  30.60  37.63  44.62  53.19  49.24  38.19  29.44  17.85  -0.85
48003281915   5.99  17.28  19.36  36.00  37.94  42.55  48.34  50.45  40.15  31.26  20.41  11.05
48003281916 -12.33   8.24  23.45  28.69  33.19  43.41  53.56  49.46  38.01  26.10  10.15  -0.71
48003281917  -2.97   6.26  10.60  25.48  34.50  42.37  54.90  48.49  42.12  27.10  24.62   8.80
48003281918   2.93   6.76  24.39  24.94  35.24  51.73  52.12  47.59  41.04  34.09  18.36  14.43
48003281919   6.53   9.14  16.99  30.33  38.46  48.99  54.86  50.11  42.57  23.54  12.38  -2.74
