state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48001021979   8.91  22.26  29.16  37.45  44.06  55.76  63.52  59.76  55.58  43.47  20.59  26.24
48001021980  17.83  22.91  25.88  35.17  45.34  58.51  64.72  59.92  53.82  40.35  29.91  32.29
48001021981  26.71  26.24  30.33  43.48  44.26  58.41  63.30  60.21  55.38  40.50  34.61  24.75
48001021982  19.47  22.24  30.85  34.72  44.62  52.88  62.22  64.56  51.71  39.13  26.13  21.96
48001021983  26.33  26.51  28.00  29.88  41.52  53.35  63.01  64.49  54.39  43.57  28.54  11.70
48001021984  17.92  21.18  26.29  30.02  47.88  55.40  63.66  62.29  50.38  36.27  30.72  21.78
48001021985  14.34  18.41  29.91  39.65  48.58  56.25  63.16  60.40  48.88  40.53  23.27  20.03
48001021986  28.02  24.71  36.57  38.57  44.96  59.45  61.23  61.12  49.73  39.97  28.89  22.26
48001021987  21.24  25.54  28.04  41.02  49.71  57.40  62.65  59.36  51.69  42.57  28.65  19.71
48001021988  16.16  21.78  25.79  39.54  47.50  62.60  64.33  62.01  51.69  46.17  29.28  21.27
48001021989  22.96  13.77  33.37  39.49  47.61  54.61  65.07  60.33  52.21  41.56  32.02  19.92
48001021990  24.21  22.21  29.89  38.64  44.65  58.75  60.87  60.62  56.39  41.52  31.95  15.55
48001021991  19.04  29.03  30.40  35.46  47.01  57.25  62.17  61.93  52.72  41.65  25.97  23.97
48001021992  21.85  28.49  33.67  43.20  49.96  55.17  59.16  59.45  53.82  44.76  23.99  19.08
48001021993  20.52  17.85  29.73  35.92  48.04  53.17  59.32  59.32  49.91  39.40  23.40  22.32
48001021994  23.54  22.03  33.28  38.23  51.40  60.10  62.29  63.34  54.46  41.00  27.25  26.10
48001021995  22.50  28.18  31.33  35.24  41.72  53.51  61.07  64.51  51.85  40.05  33.12  26.10
48001021996  18.88  25.23  28.51  37.80  47.23  58.26  63.73  61.47  50.63  40.62  30.90  23.92
48001021997  20.30  21.27  33.28  31.93  47.25  58.08  62.62  61.07  54.99  41.68  26.94  20.89
48001021998  25.36  25.84  27.75  36.61  48.74  51.53  64.98  62.35  58.50  42.33  34.36  20.98
48001021999  24.64  27.05  33.51  33.87  44.89  55.22  64.33  62.02  49.12  43.47  37.92  23.77
48001022000  24.46  29.14  31.93  40.68  50.29  57.20  66.29  65.70  53.10  42.71  19.72  19.56
48001022001  19.89  21.76  30.43  39.33  48.56  58.93  67.12  64.45  56.30  42.91  33.15  22.62
48001022002  20.41  22.35  24.51  40.41  46.54  60.78  67.33  61.20  54.14  36.41  28.11  25.20
48001022003  29.73  19.90  31.08  40.28  48.20  53.62  67.87  64.54  50.92  46.24  26.47  25.14
48001022004  23.59  22.44  35.92  39.56  48.60  54.48  61.77  58.03  52.52  42.46  29.52  25.07
48001022005  27.34  25.92  30.54  38.10  46.40  55.67  66.02  60.67  55.24  44.13  32.61  21.02
48001022006  25.92  20.75  28.20  41.76  49.59  61.41  66.69  62.38  48.78  38.95  32.14  23.40
48001022007  15.39  25.59  35.98  38.55  48.54  58.50  66.67  64.33  54.12  43.38  33.67  18.91
48001022008  17.33  22.57  27.45  34.74  44.64  54.79  64.81  61.47  51.49  42.46  34.52  20.89
48001022009  24.51  27.46  31.19  36.14  48.47  54.27  61.05  59.43  53.92  34.05  32.68  15.13
48001022010  22.14  18.97  30.56  37.11  42.85  56.50  63.10  61.97  55.78  45.52  29.14  25.66
48001022011  20.86  18.14  32.16  36.43  42.51  55.71  65.39  64.96  54.10  43.00  29.46  19.69
48001022012  25.72  21.06  38.52  43.52  49.24  62.80  67.26  63.93  55.58  40.75  37.04  23.20
48001022013  20.68  21.25  30.27  32.13  47.88  60.15  64.74  63.93  56.03  38.23  32.04  20.23
48001022014  22.73  22.05  31.89  38.26  47.34  55.31  63.75  60.06  55.00  46.33  28.22  24.94
48001022015  26.67  27.23  36.61  39.33  44.87  60.62  61.83  62.22  58.06  48.22  29.79  21.92
48001022016  21.83  28.80  32.00  38.28  44.89  61.63  65.01  60.64  54.50  47.08  36.73  20.50
48001022017  19.17  29.25  37.98  38.46  46.36  58.15  65.80  60.22  53.13  39.76  36.88  25.74
