STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/18/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/19/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/20/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/21/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/22/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/23/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/24/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/25/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/26/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/27/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/28/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/29/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/8/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/9/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/10/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/11/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/12/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/13/09,0.14,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/14/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/15/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/16/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/27/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/28/09,0.26,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/29/09,0.39,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/30/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",8/31/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/10/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/11/09,4.68,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/12/09,0.59,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/13/09,0.06,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/14/09,0.02,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/15/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/16/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/17/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/18/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/19/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/20/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/21/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/22/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/28/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/29/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",9/30/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/1/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/2/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/12/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/13/09,0.05,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/14/09,0.03,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/15/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/16/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/17/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/18/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/19/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/20/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/21/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",10/22/09,1.48,,,
