Texas, Palmer Drought Severity Index (PDSI)
Missing: -99,
Date,Value
198407,-2.75
198408,-2.82
198409,-2.89
198410,1.41
198411,1.67
198412,2.2
198501,2.44
198502,2.75
198503,2.92
198504,2.76
198505,2.28
198506,2.57
198507,2.56
198508,1.61
198509,1.79
198510,2.42
198511,2.5
198512,-0.13
198601,-0.68
198602,-0.82
198603,-1.47
198604,-1.88
198605,0.3
198606,0.97
198607,0.37
198608,0.59
198609,0.76
198610,1.91
198611,2.56
198612,3.5
198701,3.38
198702,4.05
198703,3.73
198704,3.03
198705,3.8
198706,4.88
198707,5.44
198708,5.39
198709,0
198710,-0.66
198711,0.29
198712,0.73
198801,-0.3
198802,-0.61
198803,-0.5
198804,-0.7
198805,-1.22
198806,-1.37
198807,-0.92
198808,-1.23
198809,-0.93
198810,-1.39
198811,-1.95
198812,-2.13
198901,-1.9
198902,-1.59
198903,-1.36
198904,-1.81
198905,-1.74
198906,-0.82
198907,-0.91
198908,-0.76
198909,-0.96
198910,-1.35
198911,-1.92
198912,-2.23
199001,-2.09
199002,0.15
199003,0.86
199004,1.46
199005,1.37
199006,-0.55
199007,0.57
199008,0.36
199009,0.54
199010,0.43
199011,0.4
199012,0.01
199101,0.89
199102,0.78
199103,0.28
199104,0.49
199105,0.45
199106,0.99
199107,1.5
199108,1.95
199109,2.69
199110,2.45
199111,2.22
199112,3.88
199201,4.68
199202,5.53
199203,5.25
199204,4.93
199205,5.55
199206,6.13
199207,6.64
199208,6.27
199209,5.13
199210,3.93
199211,4.25
199212,4.15
199301,4.17
199302,4.09
199303,4.19
199304,4.08
199305,4.02
199306,4.71
199307,4.51
199308,-0.46
199309,-0.82
199310,-0.46
199311,-0.52
199312,-0.71
199401,-0.82
199402,-0.89
199403,-0.84
199404,-0.9
199405,-0.34
199406,-0.83
199407,-1.19
199408,-1.33
199409,-1.4
199410,0.98
199411,0.9
199412,1.34
199501,1.34
199502,0.92
199503,1.19
199504,1.38
199505,2
199506,2.39
199507,2.73
199508,2.81
199509,2.8
199510,-0.55
199511,-0.75
199512,-0.9
199601,-1.51
