STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN
US1TXCML006,29.8374,-98.3987,316.1,4/17/16,,,0.11,,,
US1TXCML006,29.8374,-98.3987,316.1,4/18/16,,,1.43,,,
US1TXCML006,29.8374,-98.3987,316.1,4/19/16,,,0.29,,,
US1TXCML006,29.8374,-98.3987,316.1,4/20/16,,,0.02,,,
US1TXCML006,29.8374,-98.3987,316.1,4/21/16,,,0.67,,,
US1TXCML006,29.8374,-98.3987,316.1,4/22/16,,,0.51,,,
US1TXCML006,29.8374,-98.3987,316.1,4/23/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/24/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/25/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/26/16,,,0.1,,,
US1TXCML006,29.8374,-98.3987,316.1,4/27/16,,,0.37,,,
US1TXCML006,29.8374,-98.3987,316.1,4/28/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/29/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/30/16,,,0.49,,,
US1TXCML006,29.8374,-98.3987,316.1,5/1/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/2/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/3/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/4/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/5/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/6/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/7/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/8/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/9/16,,,0.04,,,
US1TXCML006,29.8374,-98.3987,316.1,5/10/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/11/16,,,0.25,,,
US1TXCML006,29.8374,-98.3987,316.1,5/12/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/13/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/14/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/15/16,,,0.18,,,
US1TXCML006,29.8374,-98.3987,316.1,5/16/16,,,0.72,,,
US1TXCML006,29.8374,-98.3987,316.1,5/18/16,,,1.93,,,
US1TXCML006,29.8374,-98.3987,316.1,5/19/16,,,0.62,,,
US1TXCML006,29.8374,-98.3987,316.1,5/20/16,,,2.18,,,
US1TXCML006,29.8374,-98.3987,316.1,5/21/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/22/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/23/16,,,0.03,,,
US1TXCML006,29.8374,-98.3987,316.1,5/24/16,,,0.03,,,
US1TXCML006,29.8374,-98.3987,316.1,5/25/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/26/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/27/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/28/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,5/29/16,,,0.48,,,
US1TXCML006,29.8374,-98.3987,316.1,5/30/16,,,0.68,,,
US1TXCML006,29.8374,-98.3987,316.1,5/31/16,,,0.11,,,
US1TXCML006,29.8374,-98.3987,316.1,6/1/16,,,2.51,,,
US1TXCML006,29.8374,-98.3987,316.1,6/2/16,,,1.14,,,
US1TXCML006,29.8374,-98.3987,316.1,6/3/16,,,0.1,,,
US1TXCML006,29.8374,-98.3987,316.1,6/4/16,,,0.69,,,
US1TXCML006,29.8374,-98.3987,316.1,6/5/16,,,0.03,,,
US1TXCML006,29.8374,-98.3987,316.1,6/6/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/7/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/8/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/9/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/11/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/12/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,6/13/16,,,0,,,
