date,dtype,temp
1907-11-01,avg,28.44
1907-11-01,min,19.53
1907-12-01,max,29.21
1907-12-01,avg,20.3
1907-12-01,min,11.41
1908-01-01,max,30.29
1908-01-01,avg,19.89
1908-01-01,min,9.48
1908-02-01,max,33.82
1908-02-01,avg,21.94
1908-02-01,min,10.06
1908-03-01,max,35.96
1908-03-01,avg,25.5
1908-03-01,min,15.06
1908-04-01,max,52.45
1908-04-01,avg,38.8
1908-04-01,min,25.14
1908-05-01,max,52.43
1908-05-01,avg,42.37
1908-05-01,min,32.29
1908-06-01,max,59.58
1908-06-01,avg,49.06
1908-06-01,min,38.55
1908-07-01,max,75.34
1908-07-01,avg,60.96
1908-07-01,min,46.56
1908-08-01,max,68.47
1908-08-01,avg,55.74
1908-08-01,min,43.0
1908-09-01,max,64.62
1908-09-01,avg,51.04
1908-09-01,min,37.45
1908-10-01,max,45.3
1908-10-01,avg,35.91
1908-10-01,min,26.51
1908-11-01,max,37.18
1908-11-01,avg,27.09
1908-11-01,min,16.99
1908-12-01,max,24.75
1908-12-01,avg,16.5
1908-12-01,min,8.28
1909-01-01,max,24.96
1909-01-01,avg,15.28
1909-01-01,min,5.61
1909-02-01,max,30.13
1909-02-01,avg,19.63
1909-02-01,min,9.14
1909-03-01,max,36.48
1909-03-01,avg,25.88
1909-03-01,min,15.3
1909-04-01,max,40.53
1909-04-01,avg,28.96
1909-04-01,min,17.38
1909-05-01,max,52.16
1909-05-01,avg,40.42
1909-05-01,min,28.69
1909-06-01,max,65.91
1909-06-01,avg,53.64
1909-06-01,min,41.34
1909-07-01,max,75.29
1909-07-01,avg,60.6
1909-07-01,min,45.88
1909-08-01,max,75.47
1909-08-01,avg,61.2
1909-08-01,min,46.9
1909-09-01,max,60.98
1909-09-01,avg,50.14
1909-09-01,min,39.29
1909-10-01,max,51.04
1909-10-01,avg,39.06
1909-10-01,min,27.07
1909-11-01,max,37.13
1909-11-01,avg,28.76
1909-11-01,min,20.39
1909-12-01,max,16.41
1909-12-01,avg,7.7
1909-12-01,min,-0.99
1910-01-01,max,21.45
1910-01-01,avg,13.1
1910-01-01,min,4.77
1910-02-01,max,24.12
1910-02-01,avg,13.01
1910-02-01,min,1.9
1910-03-01,max,49.44
1910-03-01,avg,37.02
1910-03-01,min,24.58
1910-04-01,max,56.46
1910-04-01,avg,42.4
1910-04-01,min,28.33
1910-05-01,max,57.65
1910-05-01,avg,45.37
1910-05-01,min,33.08
1910-06-01,max,69.49
1910-06-01,avg,54.75
1910-06-01,min,39.99
1910-07-01,max,77.09
1910-07-01,avg,62.37
1910-07-01,min,47.64
1910-08-01,max,71.56
1910-08-01,avg,56.01
1910-08-01,min,40.48
1910-09-01,max,61.93
1910-09-01,avg,49.5
1910-09-01,min,37.04
1910-10-01,max,53.83
1910-10-01,avg,41.49
1910-10-01,min,29.12
1910-11-01,max,35.82
1910-11-01,avg,28.6
1910-11-01,min,21.38
1910-12-01,max,29.03
1910-12-01,avg,21.09
1910-12-01,min,13.17
1911-01-01,max,25.74
1911-01-01,avg,17.47
1911-01-01,min,9.25
1911-02-01,max,26.6
1911-02-01,avg,15.12
1911-02-01,min,3.63
1911-03-01,max,44.13
1911-03-01,avg,31.12
1911-03-01,min,18.12
1911-04-01,max,44.94
1911-04-01,avg,33.1
1911-04-01,min,21.25
1911-05-01,max,55.02
1911-05-01,avg,43.59
1911-05-01,min,32.16
1911-06-01,max,67.77
1911-06-01,avg,55.38
1911-06-01,min,43.0
1911-07-01,max,71.69
1911-07-01,avg,57.54
1911-07-01,min,43.39
1911-08-01,max,68.95
1911-08-01,avg,54.82
1911-08-01,min,40.68
1911-09-01,max,60.67
1911-09-01,avg,48.22
1911-09-01,min,35.76
1911-10-01,max,45.09
1911-10-01,avg,34.23
1911-10-01,min,23.38
1911-11-01,max,29.37
1911-11-01,avg,20.53
1911-11-01,min,11.7
1911-12-01,max,24.55
1911-12-01,avg,15.01
1911-12-01,min,5.47
1912-01-01,max,25.3
